Row Number,Number of Rooms,Size (m²),Floor,Price,District,Address,Date,Latitude,Longitude,Link
137,3.0,93.0,,от 39 990 000 〒,Сарыарка р-н," Кумисбекова 9А, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/689938403
138,3.0,74.0,6,47 000 000 〒,Нура р-н," E797 2 — Сзади Ханчатыр, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005483292
139,2.0,67.0,4,39 500 000 〒,Есильский р-н," Е51 54а — Төле би - Сығанақ, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1000883472
140,2.0,42.0,3,38 000 000 〒,Есильский р-н," Хусейн бен Талал 30 — Хусейн бен Талал, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006848142
141,3.0,94.0,13,48 000 000 〒,Сарыарка р-н," Сейфуллина — Сарыарка Сейфуллина, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/695598786
142,4.0,100.0,4,47 000 000 〒,Алматы р-н," Петрова 21/2 — Жирентаева, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006927382
143,1.0,41.5,10,24 499 999 〒,Нура р-н," Жубан Молдагалиев 13 — Напротив Ozen Fitness, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006224206
144,3.0,86.0,11,36 000 000 〒,Нура р-н," Сыганак 1 — Сығанақ—Айтматова, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005342091
145,3.0,98.0,7,67 500 000 〒,Есильский р-н," Абикен Бектуров, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1003044633
146,2.0,41.0,8,31 900 000 〒,Нура р-н," Е-34 4 — ЭКО парк, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006075991
147,3.0,70.0,8,48 900 000 〒,Нура р-н," Е-15 13, 13/1 — ЭКО парк, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006333932
148,3.0,91.7,2,105 000 000 〒,Сарыарка р-н," Ауэзова — Пересечение Жангильдина, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005760276
149,1.0,41.0,,от 11 685 000 〒,Сарыарка р-н," Н. Тлендиева — ул. Баршын, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/675971515
150,1.0,49.2,,от 28 504 512 〒,Нура р-н," Улица Е 882, 7, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005148858
151,2.0,57.76,,от 43 897 600 〒,Есильский р-н," ​Аль-Фараби 3/2, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1004370008
152,5.0,211.18,,от 203 788 700 〒,Есильский р-н," ул. Мангилик Ел, 57, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1000673718
153,2.0,52.43,,от 39 689 510 〒,Есильский р-н," Хусейн бен Талал 37, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005837201
154,3.0,71.82,,от 44 097 480 〒,Сарайшык р-н," Сагадат Нурмагамбетов 17, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/698215357
155,2.0,41.1,12,26 000 000 〒,Нура р-н," Жубан Молдагалиев 9, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006371232
156,4.0,119.0,13,63 000 000 〒,Алматы р-н," Момышулы 2а — Триатлон-парк и Президентский парк, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006632749
157,3.0,96.4,,от 40 488 000 〒,Алматы р-н," трасса Астана-Караганда 4/3, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/683999322
158,5.0,266.0,,от 240 570 000 〒,Сарайшык р-н," Жумекен Нажимеденов 2, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/681768678
159,1.0,40.79,,от 17 539 700 〒,Сарыарка р-н," Бердибек Сокпакбаев 6, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007148145
160,2.0,95.86,,от 73 141 100 〒,Есильский р-н," ​Аль-Фараби 3/2, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1004370021
161,1.0,43.82,,от 21 384 160 〒,Есильский р-н," Е-779 32/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1002020622
162,3.0,115.92,,от 69 552 000 〒,Сарайшык р-н," Шамши Калдаяков 16, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/699607423
163,3.0,90.0,10,55 500 000 〒,Есильский р-н," Акмешит — срочно рн Абудаби Плаза, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005442957
164,2.0,39.0,10,37 500 000 〒,Есильский р-н," Улица Жошы хан 14/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007065554
165,4.0,92.0,9,110 500 000 〒,Есильский р-н," Туркестан, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006550653
166,1.0,37.4,1,36 000 000 〒,Есильский р-н," Туран 40/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1001974684
167,1.0,27.0,8,17 500 000 〒,Нура р-н," Е430 4 — шоссе Коргалжын, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007119912
168,3.0,113.4,20,95 000 000 〒,Сарайшык р-н," Ахмет Байтурсынулы 5, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007089187
169,2.0,68.0,5,31 000 000 〒,Сарайшык р-н," Кордай 81, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/699046284
170,2.0,41.6,6,33 000 000 〒,Нура р-н," Е 15 13 — За Хан Шатыром, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1004148862
171,4.0,120.0,6,114 900 000 〒,Есильский р-н," Сауран, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007111261
172,2.0,46.5,10,28 000 000 〒,Сарыарка р-н," Бейбарыс Султан, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006688122
173,3.0,103.0,3,125 000 000 〒,Есильский р-н," Аль-Фараби 35, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1000848856
174,3.0,62.9,9,53 000 000 〒,Алматы р-н," Тауелсиздик 25/1 — Тауелсыздык, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006909860
175,2.0,70.0,14,31 000 000 〒,Алматы р-н," Момышулы 2в — Рядом с пересечением проспекта Б. Момышулы и ул. Токпанова, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005199772
